step,client_id,from_ap,to_ap,client_x,client_y
585,12,1,2,12.78,30.67
588,11,0,2,10.89,47.61
589,5,0,2,11.00,44.96
591,3,2,5,28.11,47.44
591,9,6,5,36.60,35.36
593,0,2,0,9.03,50.00
593,1,3,0,20.09,9.32
594,13,0,1,17.71,20.72
595,10,3,4,30.14,21.21
596,13,1,3,19.62,22.86
597,9,5,2,27.47,34.91
597,13,3,2,20.32,24.16
598,3,5,6,32.83,45.47
599,10,4,5,31.66,29.01
600,5,2,5,29.04,43.04
600,8,0,3,18.61,18.75
601,2,6,5,36.99,28.53
602,12,2,6,27.77,49.90
603,5,5,6,31.21,47.27
603,6,6,3,33.77,7.53
603,7,6,3,35.31,6.80
604,1,0,3,22.09,5.63
606,7,3,6,35.06,12.66
606,10,5,6,38.00,40.80
607,11,2,4,24.52,26.07
609,4,6,5,36.26,40.08
610,6,3,0,20.06,8.41
610,8,3,4,26.54,25.06
611,0,0,2,9.54,38.99
611,2,5,4,28.65,33.59
611,7,6,4,34.22,22.16
612,5,6,5,36.70,39.55
613,2,4,2,27.37,35.03
614,4,5,6,31.86,47.50
617,7,4,2,25.98,30.60
617,9,2,0,10.08,48.68
618,8,4,5,31.80,29.67
619,1,3,2,22.61,25.79
619,5,5,4,31.44,28.38
621,11,4,3,33.65,16.13
622,2,2,5,28.45,42.67
622,9,0,2,9.56,41.98
623,5,4,3,24.12,25.47
624,11,3,6,34.92,12.90
625,9,2,0,9.39,37.85
625,12,6,3,33.82,14.20
626,0,2,5,28.78,38.39
627,10,6,5,35.06,42.54
628,2,5,6,31.87,47.55
629,1,2,5,29.62,39.97
629,5,3,0,17.45,16.50
632,0,5,6,36.46,42.38
632,10,5,2,26.73,41.22
632,13,2,1,12.50,29.31
633,1,5,6,36.23,43.10
634,8,5,6,35.95,41.44
634,13,1,0,11.10,26.87
635,6,0,2,11.62,34.55
637,4,6,5,35.98,40.10
639,7,2,5,29.23,38.86
640,2,6,5,36.05,40.57
642,4,5,2,27.21,36.95
643,12,3,0,18.46,14.07
644,10,2,0,10.59,33.43
646,6,2,5,29.38,41.97
646,7,5,6,38.83,34.58
648,12,0,1,17.02,22.06
651,4,2,1,11.87,28.73
651,6,5,6,37.75,37.11
652,2,5,4,31.18,27.26
652,4,1,0,10.07,27.91
652,12,1,2,16.18,28.89
654,3,6,5,36.91,35.42
659,2,4,6,34.33,18.02
662,3,5,4,28.45,34.41
664,3,4,2,26.65,32.53
667,7,6,5,37.49,30.08
667,10,0,2,10.14,45.44
668,9,0,3,22.51,4.66
669,4,0,3,18.90,16.89
669,8,6,5,37.19,28.71
671,3,2,3,22.18,23.91
671,11,6,3,33.11,16.53
672,5,0,3,20.15,12.62
672,13,0,3,25.83,0.63
673,7,5,4,29.57,31.99
674,8,5,4,32.37,26.19
676,7,4,2,25.90,30.84
677,12,2,0,11.24,31.50
678,0,6,3,33.55,14.73
679,3,3,0,18.68,14.05
680,6,6,3,35.47,5.97
680,8,4,3,27.12,22.65
681,5,3,4,28.07,23.71
682,13,3,6,36.22,6.69
683,11,3,1,18.52,21.43
684,2,6,5,36.85,26.45
685,7,2,1,16.36,26.70
687,0,3,2,23.67,27.32
687,5,4,5,29.85,34.71
689,7,1,0,11.17,27.37
690,6,3,0,18.06,12.38
690,12,0,2,12.06,32.60
691,9,3,4,33.23,18.34
691,11,1,0,10.39,28.12
692,5,5,2,27.91,44.12
697,8,3,6,35.52,8.22
698,10,2,5,28.01,36.79
699,2,5,6,31.08,48.64
699,7,0,2,9.30,40.37
700,10,5,4,28.22,35.51
702,4,3,1,18.52,23.29
704,2,6,5,34.01,43.39
705,10,4,2,26.70,32.93
707,5,2,4,26.82,31.30
708,7,2,0,9.04,46.89
710,4,1,0,10.42,27.95
710,11,0,2,10.94,50.00
711,2,5,6,39.02,32.21
712,9,4,2,27.21,35.37
713,5,4,3,29.59,20.54
715,0,2,1,17.04,25.94
715,1,6,5,36.03,37.64
717,12,2,4,25.92,28.37
718,0,1,0,13.86,21.58
718,6,0,3,20.13,13.16
720,12,4,3,25.51,23.36
721,10,2,1,14.86,28.34
722,8,6,3,35.22,4.65
723,1,5,2,27.39,39.92
725,10,1,0,10.74,27.70
727,6,3,6,35.11,11.12
727,11,2,4,26.80,30.74
729,4,0,1,12.45,25.40
730,2,6,4,33.17,18.80
730,3,0,1,14.43,21.64
731,11,4,5,32.69,28.39
732,2,4,3,29.47,19.41
733,8,3,0,23.37,2.27
734,4,1,3,18.73,20.47
734,5,3,6,34.52,15.56
734,11,5,6,37.17,25.99
736,5,6,4,33.98,18.95
736,12,3,6,35.93,1.77
739,2,3,0,17.63,18.22
740,1,2,0,8.19,41.39
740,4,3,4,28.58,21.96
741,3,1,2,18.45,25.92
744,4,4,6,35.58,20.43
744,5,4,2,25.03,30.50
746,6,6,3,35.07,6.57
748,13,6,5,37.30,34.40
749,0,0,3,19.32,14.90
751,12,6,5,35.40,26.30
753,5,2,0,9.50,34.84
753,6,3,0,22.95,2.82
754,12,5,4,30.85,30.06
755,1,0,2,11.30,47.18
756,10,0,3,19.72,12.75
757,0,3,2,22.79,26.12
757,11,6,3,35.08,0.32
757,12,4,2,26.81,34.40
759,7,0,2,11.92,31.22
759,9,2,1,15.11,27.65
760,13,5,4,29.35,32.77
764,3,2,4,27.68,35.26
766,3,4,5,28.69,35.27
766,5,0,2,9.64,37.23
766,9,1,0,11.17,24.60
766,13,4,2,25.93,30.94
767,1,2,5,29.27,39.75
767,7,2,3,22.89,24.74
767,12,2,0,9.05,35.60
768,8,0,1,12.09,24.69
771,8,1,2,13.89,29.67
774,2,0,1,17.65,20.30
775,1,5,6,38.64,28.89
775,2,1,3,19.13,20.87
775,10,3,6,36.19,1.36
777,0,2,5,28.50,47.86
777,7,3,6,34.54,14.57
778,5,2,5,28.08,45.05
778,12,0,2,11.04,39.44
779,0,5,6,31.51,46.97
779,6,0,1,12.30,29.18
780,2,3,4,24.79,25.98
780,6,1,2,13.91,29.79
780,8,2,5,28.30,37.68
781,5,5,6,33.09,46.83
782,4,6,5,36.57,38.83
782,13,2,1,16.28,26.90
784,4,5,6,35.28,42.55
785,8,5,6,36.72,41.97
787,11,3,2,21.47,24.58
787,12,2,5,28.12,38.51
788,2,4,5,28.88,35.03
789,6,2,5,28.38,39.19
790,11,2,1,18.43,24.95
792,13,1,0,11.07,28.01
793,7,6,3,35.56,3.65
793,12,5,6,38.24,33.66
794,6,5,6,35.74,44.46
795,1,6,4,32.98,18.88
795,9,0,3,20.52,10.11
797,1,4,3,30.33,19.85
797,3,5,4,33.95,22.43
797,11,1,0,11.61,24.54
799,7,3,6,35.53,11.62
800,2,5,6,28.17,49.41
802,2,6,5,28.28,48.82
803,3,4,6,34.68,19.47
804,0,6,5,37.29,37.39
805,8,6,5,37.40,34.29
807,1,3,0,19.44,11.61
814,0,5,4,34.09,22.38
814,8,5,6,34.57,20.55
814,9,3,6,36.36,0.84
815,12,6,3,33.36,11.90
817,0,4,3,30.74,18.48
823,12,3,0,17.73,12.29
828,0,3,0,23.67,1.83
830,7,6,5,32.58,43.71
833,7,5,2,27.57,42.24
839,8,6,3,35.16,7.84
844,2,5,6,34.90,21.34
844,7,2,0,8.76,35.96
844,9,6,3,34.70,9.86
844,10,6,3,35.49,3.73
844,12,0,3,20.40,13.57
847,10,3,6,36.04,0.00
851,5,6,5,35.93,24.01
852,8,3,0,18.65,14.80
852,10,6,3,34.70,6.65
854,8,0,3,18.77,18.33
856,8,3,1,18.89,21.76
856,12,3,6,35.70,5.64
857,9,3,0,18.04,14.10
858,7,0,1,13.20,23.53
858,8,1,2,20.58,24.80
862,7,1,3,19.52,20.73
862,8,2,4,26.18,29.15
863,10,3,0,19.30,10.03
865,5,5,4,28.08,35.19
865,8,4,5,30.95,31.99
866,4,6,5,35.15,22.80
866,5,4,2,27.02,35.44
867,4,5,4,34.27,21.04
867,13,0,2,11.85,31.42
870,4,4,3,33.80,15.10
870,7,3,4,33.14,18.52
870,8,5,6,39.32,35.79
871,7,4,6,34.85,17.89
871,11,0,2,9.48,45.01
873,13,2,1,15.05,28.34
875,3,6,3,35.46,0.68
883,5,2,0,9.19,39.52
885,13,1,0,17.20,20.06
886,4,3,6,35.61,15.06
889,10,0,3,23.86,4.16
891,12,6,5,35.99,24.76
