step,source_ap,dest_ap,weight,interference_dbm,distance
48,2,1,0.0268,-57.27,14.05
49,0,1,0.0230,-52.86,6.98
49,0,2,0.0000,-60.80,12.83
49,1,0,0.0308,-47.54,6.98
49,1,2,0.0271,-56.66,14.05
49,2,0,0.0000,-56.09,12.83
49,2,1,0.0268,-57.27,14.05
50,0,1,0.0231,-52.86,6.98
50,0,2,0.0000,-60.80,12.83
50,1,0,0.0308,-47.54,6.98
50,1,2,0.0271,-56.66,14.05
50,2,0,0.0000,-56.09,12.83
50,2,1,0.0268,-57.27,14.05
51,0,1,0.0231,-52.86,6.98
51,0,2,0.0000,-60.80,12.83
51,1,0,0.0308,-47.54,6.98
51,1,2,0.0271,-56.66,14.05
51,2,0,0.0000,-56.09,12.83
51,2,1,0.0268,-57.27,14.05
52,0,1,0.0253,-52.86,6.98
52,0,2,0.0000,-60.80,12.83
52,1,0,0.0308,-47.54,6.98
52,1,2,0.0271,-56.66,14.05
52,2,0,0.0000,-56.09,12.83
52,2,1,0.0268,-57.27,14.05
53,0,1,0.0265,-52.86,6.98
53,0,2,0.0000,-60.80,12.83
53,1,0,0.0308,-47.54,6.98
53,1,2,0.0271,-56.66,14.05
53,2,0,0.0000,-56.09,12.83
53,2,1,0.0268,-57.27,14.05
54,0,1,0.0265,-52.86,6.98
54,0,2,0.0000,-60.80,12.83
54,1,0,0.0308,-47.54,6.98
54,1,2,0.0271,-56.66,14.05
54,2,0,0.0000,-56.09,12.83
54,2,1,0.0268,-57.27,14.05
55,0,1,0.0265,-52.86,6.98
55,0,2,0.0000,-60.80,12.83
55,1,0,0.0308,-47.54,6.98
55,1,2,0.0271,-56.66,14.05
55,2,0,0.0000,-56.09,12.83
55,2,1,0.0268,-57.27,14.05
56,0,1,0.0262,-52.86,6.98
56,0,2,0.0000,-60.80,12.83
56,1,0,0.0308,-47.54,6.98
56,1,2,0.0271,-56.66,14.05
56,2,0,0.0000,-56.09,12.83
56,2,1,0.0268,-57.27,14.05
57,0,1,0.0265,-52.86,6.98
57,0,2,0.0000,-60.80,12.83
57,1,0,0.0308,-47.54,6.98
57,1,2,0.0271,-56.66,14.05
57,2,0,0.0000,-56.09,12.83
57,2,1,0.0268,-57.27,14.05
58,0,1,0.0276,-52.86,6.98
58,0,2,0.0000,-60.80,12.83
58,1,0,0.0308,-47.54,6.98
58,1,2,0.0271,-56.66,14.05
58,2,0,0.0000,-56.09,12.83
58,2,1,0.0268,-57.27,14.05
59,0,1,0.0263,-52.86,6.98
59,0,2,0.0000,-60.80,12.83
59,1,0,0.0308,-47.54,6.98
59,1,2,0.0271,-56.66,14.05
59,2,0,0.0000,-56.09,12.83
59,2,1,0.0268,-57.27,14.05
60,0,1,0.0263,-52.86,6.98
60,0,2,0.0000,-60.80,12.83
60,1,0,0.0308,-47.54,6.98
60,1,2,0.0271,-56.66,14.05
60,2,0,0.0000,-56.09,12.83
60,2,1,0.0268,-57.27,14.05
61,0,1,0.0263,-52.86,6.98
61,0,2,0.0000,-60.80,12.83
61,1,0,0.0308,-47.54,6.98
61,1,2,0.0271,-56.66,14.05
61,2,0,0.0000,-56.09,12.83
61,2,1,0.0268,-57.27,14.05
62,0,1,0.0218,-52.86,6.98
62,0,2,0.0000,-60.80,12.83
62,1,0,0.0308,-47.54,6.98
62,1,2,0.0271,-56.66,14.05
62,2,0,0.0000,-56.09,12.83
62,2,1,0.0268,-57.27,14.05
63,0,1,0.0218,-52.86,6.98
63,0,2,0.0000,-60.80,12.83
63,1,0,0.0308,-47.54,6.98
63,1,2,0.0271,-56.66,14.05
63,2,0,0.0000,-56.09,12.83
63,2,1,0.0268,-57.27,14.05
64,0,1,0.0225,-52.86,6.98
64,0,2,0.0000,-60.80,12.83
64,1,0,0.0308,-47.54,6.98
64,1,2,0.0271,-56.66,14.05
64,2,0,0.0000,-56.09,12.83
64,2,1,0.0268,-57.27,14.05
65,0,1,0.0222,-52.86,6.98
65,0,2,0.0000,-60.80,12.83
65,1,0,0.0308,-47.54,6.98
65,1,2,0.0271,-56.66,14.05
65,2,0,0.0000,-56.09,12.83
65,2,1,0.0268,-57.27,14.05
66,0,1,0.0222,-52.86,6.98
66,0,2,0.0000,-60.80,12.83
66,1,0,0.0308,-47.54,6.98
66,1,2,0.0271,-56.66,14.05
66,2,0,0.0000,-56.09,12.83
66,2,1,0.0268,-57.27,14.05
67,0,1,0.0222,-52.86,6.98
67,0,2,0.0000,-60.80,12.83
67,1,0,0.0308,-47.54,6.98
67,1,2,0.0271,-56.66,14.05
67,2,0,0.0000,-56.09,12.83
67,2,1,0.0268,-57.27,14.05
68,0,1,0.0222,-52.86,6.98
68,0,2,0.0000,-60.80,12.83
68,1,0,0.0308,-47.54,6.98
68,1,2,0.0271,-56.66,14.05
68,2,0,0.0000,-56.09,12.83
68,2,1,0.0268,-57.27,14.05
69,0,1,0.0211,-52.86,6.98
69,0,2,0.0000,-60.80,12.83
69,1,0,0.0308,-47.54,6.98
69,1,2,0.0271,-56.66,14.05
69,2,0,0.0000,-56.09,12.83
69,2,1,0.0268,-57.27,14.05
70,0,1,0.0211,-52.86,6.98
70,0,2,0.0000,-60.80,12.83
70,1,0,0.0308,-47.54,6.98
70,1,2,0.0271,-56.66,14.05
70,2,0,0.0000,-56.09,12.83
70,2,1,0.0268,-57.27,14.05
71,0,1,0.0211,-52.86,6.98
71,0,2,0.0000,-60.80,12.83
71,1,0,0.0308,-47.54,6.98
71,1,2,0.0271,-56.66,14.05
71,2,0,0.0000,-56.09,12.83
71,2,1,0.0268,-57.27,14.05
72,0,1,0.0226,-52.86,6.98
72,0,2,0.0000,-60.80,12.83
72,1,0,0.0308,-47.54,6.98
72,1,2,0.0271,-56.66,14.05
72,2,0,0.0000,-56.09,12.83
72,2,1,0.0268,-57.27,14.05
73,0,1,0.0226,-52.86,6.98
73,0,2,0.0000,-60.80,12.83
73,1,0,0.0308,-47.54,6.98
73,1,2,0.0271,-56.66,14.05
73,2,0,0.0000,-56.09,12.83
73,2,1,0.0268,-57.27,14.05
74,0,1,0.0226,-52.86,6.98
74,0,2,0.0000,-60.80,12.83
74,1,0,0.0308,-47.54,6.98
74,1,2,0.0271,-56.66,14.05
74,2,0,0.0000,-56.09,12.83
74,2,1,0.0268,-57.27,14.05
75,0,1,0.0226,-52.86,6.98
75,0,2,0.0000,-60.80,12.83
75,1,0,0.0308,-47.54,6.98
75,1,2,0.0271,-56.66,14.05
75,2,0,0.0000,-56.09,12.83
75,2,1,0.0268,-57.27,14.05
76,0,1,0.0226,-52.86,6.98
76,0,2,0.0000,-60.80,12.83
76,1,0,0.0308,-47.54,6.98
76,1,2,0.0271,-56.66,14.05
76,2,0,0.0000,-56.09,12.83
76,2,1,0.0268,-57.27,14.05
77,0,1,0.0226,-52.86,6.98
77,0,2,0.0000,-60.80,12.83
77,1,0,0.0308,-47.54,6.98
77,1,2,0.0271,-56.66,14.05
77,2,0,0.0000,-56.09,12.83
77,2,1,0.0268,-57.27,14.05
78,0,1,0.0239,-52.86,6.98
78,0,2,0.0000,-60.80,12.83
78,1,0,0.0308,-47.54,6.98
78,1,2,0.0271,-56.66,14.05
78,2,0,0.0000,-56.09,12.83
78,2,1,0.0268,-57.27,14.05
79,0,1,0.0239,-52.86,6.98
79,0,2,0.0000,-60.80,12.83
79,1,0,0.0308,-47.54,6.98
